time,id, p1x, p1y, p1z, p2x, p2y, p2z, px, py, pz, growth_rate, directions
0.00,0,76.41410315720697,49.541980677080765,0.8627069421112509,78.14793357612155,49.66303047966551,0.8627069421112509,77.28101836666426,49.60250557837314,0.8627069421112509,0.2731595988843809,3.0718893564390273
0.00,2,34.737205945864375,41.03872195752788,0.5154326227151879,39.452148287565734,42.9537655855566,0.5154326227151879,37.094677116715054,41.99624377154224,0.5154326227151879,1.6353041778194701,2.755783114264988

0.50,0,76.30809453796232,49.53457953663941,0.5029991565173171,78.25394219536622,49.67043162010685,0.5029991565173171,77.28101836666427,49.60250557837313,0.503213939950257,0.2731595988843809,3.0718893564390175
0.50,2,35.48681697010616,41.40137257710585,0.5072495347732098,33.443003218247775,40.50277777470208,0.500258356346783,34.54911550179689,40.98547529113104,0.5049388163086974,1.6353041778194701,0.4142379131648001
0.50,6,36.468773146302986,41.78895543056639,0.5067703437005012,40.720546248785695,43.4650856372032,0.5027722120025988,38.51045428992441,42.59362041865772,0.5059617992661551,1.6353041778194701,2.7660787445798727

1.00,0,76.1867532340123,49.52610792330953,0.5018985393129664,78.37528349931621,49.67890323343669,0.5018985393129664,77.28101836666426,49.60250557837311,0.5019640798508681,0.2731595988843809,3.0718893564389793
1.00,2,35.421136760937614,41.95729337471925,0.5055508248226187,31.805877322229765,39.67398467055046,0.49662123784668344,33.63248258906127,40.79538170890962,0.5011786659967338,1.6353041778194701,0.5633171343384625
1.00,6,39.399169846376,42.892182011509185,0.5090663641943554,35.995410155786466,41.143746495162674,0.49533461413667756,37.77640364997797,42.0802999436084,0.5048123944140808,1.6353041778194701,0.4745423497242225
1.00,9,40.31749294375437,43.279546894828236,0.5087369107949455,42.5761601761394,44.222673712091826,0.5033758353777267,41.34873736357256,43.70903192691277,0.5086716437963983,1.6353041778194701,2.74603570417661

1.50,0,76.05326184063833,49.51678803444472,0.5014512169339826,78.50877489269017,49.6882231223015,0.5014512169339826,77.28101836666426,49.60250557837311,0.5014842225746866,0.2731595988843809,3.0718893564389713
1.50,2,36.569644482933185,42.772405973818486,0.5032610387315755,30.61477514882711,38.92513858176209,0.4971315710654323,33.59356257797366,40.84672104326125,0.5002263798079681,1.6353041778194701,0.5736086820958743
1.50,6,39.75473888965941,43.684836103220825,0.5041763142690632,34.33118685649284,40.10425030183493,0.49627374288523146,37.04408452190234,41.89284641656921,0.5002920832732665,1.6353041778194701,0.5835078746806961
1.50,9,40.141835231865,42.74965971650915,0.5021398527721421,44.10306659544603,44.933136481716105,0.501250269517525,42.119976502735796,43.84514611960034,0.5017606672603498,1.6353041778194701,2.6378196554721187

2.00,0,75.90711010256027,49.506584245856835,0.5011989305208738,78.65492663076822,49.698426910889374,0.5011989305208738,77.28101836666424,49.602505578373105,0.5012192619264376,0.2731595988843809,3.0718893564389442
2.00,2,33.36735150411753,40.679878065571764,0.5019428773792884,38.57032291582848,44.08571738552656,0.4972565520443796,35.80917091998528,42.2762874227816,0.5003275426594197,1.6353041778194701,2.5619935165727847
2.00,6,38.73176029792392,42.99258461016583,0.5074591900285198,41.31341785288261,44.78126264696265,0.49567468724359376,39.8614818202863,43.78552433081848,0.5012482375701237,1.6353041778194701,2.535677447434539
2.00,9,42.371873131207614,43.955325919800714,0.5131848724873128,39.03290386476038,42.00084838375088,0.5012777683471135,40.70917479112656,42.980130249188036,0.5414358741178646,1.6353041778194701,0.5295885305553722
2.00,13,32.41299139341785,40.083668433366064,0.5063101190748118,29.034685155414415,37.90965378924933,0.4963558362733988,30.9005633162458,39.10700916989563,0.501198729522854,1.6353041778194701,0.5718126020642874
2.00,15,37.819165636243014,42.337635333334525,0.501960843049391,32.76105343793565,39.12421732585473,0.4967144198651532,35.42737218404744,40.82644501842303,0.5001513269123994,1.6353041778194701,0.5659723025239622
2.00,20,43.24447431740864,44.44229521883349,0.5132721786798043,45.18509571697422,45.550688269308196,0.5011071404900163,44.21478458036578,44.99649149975559,0.5412725189714257,1.6353041778194701,2.6226278535217817

2.50,0,75.74769921977288,49.49545475148369,0.5010337131841011,78.81433751355566,49.70955640526253,0.5010337131841011,77.28101836666426,49.60250557837311,0.5010476879950759,0.2731595988843809,3.071889356438941
2.50,2,34.60310347457538,42.3313628497447,0.5074141520976703,33.007016599912646,39.943700989503284,0.4914320181262943,33.87934337111487,41.11242864299785,0.49948400589954267,1.6353041778194701,0.9815547543076576
